,TimeStamp,Title,Years of Experiences ,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site
20,2024-02-19 21:19:35.074000,Android developer ,1.5,9,2022-10-10 00:00:00,Egyption,Remotley,Full Time,Cairo
21,2024-02-19 21:24:41.106000,php,0,8000,2023-01-25 00:00:00,Egyption,On Site,Full Time,
22,2024-02-19 21:27:59.009000,Data Analyst,3,4500,2024-02-19 00:00:00,Egyption,On Site,Full Time,Cairo
23,2024-02-19 21:32:14.466000,iOS developer,1,12000,2023-11-01 00:00:00,Egyption,Hybird,Full Time,Cairo
24,2024-02-19 21:32:52.265000,Dot net developer ,1,8000,2023-11-01 00:00:00,Egyption,On Site,Full Time,Mansoura 
25,2024-02-19 21:38:04.160000,Data scientist ,0,25000 gross,2023-11-20 00:00:00,Egyption,On Site,Full Time,
28,2024-02-19 21:44:34.123000,IoT embedded SW engineer,2,9000,2024-02-19 00:00:00,Egyption,On Site,Full Time,cairo
30,2024-02-19 21:51:04.334000,Sr. Front End Developer ,7,65000,2024-02-19 00:00:00,Egyption,On Site,Full Time,Smart Villages 
32,2024-02-19 21:54:23.797000,PHP Developer,1,7000,2024-02-19 00:00:00,Egyption,Hybird,Full Time,tanta
35,2024-02-19 22:04:00.531000,computer science instructor,1,9200,2023-03-19 00:00:00,Egyption,Remotley,Full Time,cairo
36,2024-02-19 22:12:54.712000,Full Stack .NET | Angular | MSSQL,0,6000,2024-01-07 00:00:00,Egyption,Remotley,Full Time,
37,2024-02-19 22:14:08.608000,ML instructor for kids ,0,120 per session (2 Hours),2024-02-29 00:00:00,Egyption,Remotley,Part Time,Cairo 
38,2024-02-19 22:15:41.053000,.Net Developer,3,15000 EG,2024-02-01 00:00:00,Egyption,Remotley,Full Time,
39,2024-02-19 22:18:03.483000,Backend developer,0,10000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
41,2024-02-19 22:30:02.475000,Android,4,22,2019-02-19 00:00:00,Egyption,Hybird,Full Time,
42,2024-02-19 22:32:41.606000,Flutter developer,3,10000,2024-02-19 00:00:00,Egyption,Hybird,Full Time,giza
45,2024-02-19 22:37:22.151000,Senior backend .netdeveloper ,3,32000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
46,2024-02-19 22:38:47.782000,Android Developer,1.5,15000,2023-08-01 00:00:00,Egyption,Hybird,Full Time,Cairo Egypt 
47,2024-02-19 22:44:56.790000,Laravel developer ,3 months,8000,2024-02-02 00:00:00,Egyption,Remotley,Full Time,Cairo
48,2024-02-19 22:51:52.698000,Oracle developer ,1,12000,2024-02-19 00:00:00,Egyption,On Site,Full Time,Cairo 
49,2024-02-19 22:53:28.822000,Java Developer,3 months,8000,2024-02-19 00:00:00,Egyption,On Site,Full Time,Cairo
51,2024-02-19 22:56:52.497000,Angular Developer ,1,80000 pkr,2024-02-02 00:00:00,Pakistan ,On Site,Full Time,Lahore
52,2024-02-19 23:10:53.086000,Junior web developer,1,35000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
54,2024-02-19 23:26:10.412000,Front end developer ,2,9,2024-01-01 00:00:00,Egyption,On Site,Full Time,Alex
55,2024-02-19 23:26:28.026000,MERN Stack developer,6 months,7000,2024-01-24 00:00:00,Egyption,On Site,Full Time,Cairo
58,2024-02-20 00:06:34.273000,Front end developer angular ,3,30k,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
59,2024-02-20 00:06:45.606000,.net full stack ,1,15k,2024-01-31 00:00:00,Egyption,Hybird,Full Time,Giza
60,2024-02-20 00:15:49.329000,Back end developer (Node.js) ,2,10000,2024-02-05 00:00:00,Egyption,Remotley,Full Time,Dubai
61,2024-02-20 00:16:15.279000,لاخ,يل,يل,2024-03-05 00:00:00,Egyption,On Site,Full Time,لاب
63,2024-02-20 00:19:42.465000,React developer ,1.5,8000,2024-01-01 00:00:00,Egyption,On Site,Full Time,"Alex, egypt"
64,2024-02-20 00:25:04.638000,Data Engineer ,0,15000EGP,2024-01-30 00:00:00,Egyption,Remotley,Full Time,Cairo
66,2024-02-20 00:32:19.332000,Full Stack developer ,3,6000,2023-11-21 00:00:00,Egyption,Hybird,Full Time,Cairo
67,2024-02-20 00:36:13.993000, Software Engineer ,0,2800,2022-09-01 00:00:00,Egyption,Remotley,Part Time,Cairo
68,2024-02-20 00:36:33.579000,Senior Full Stack developer ,5,43,2023-04-01 00:00:00,Egyption,On Site,Full Time,cairo
73,2024-02-20 01:06:59.447000,Software Engineering Lead ,8,60000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
75,2024-02-20 01:21:46.916000,Software testing,1,10000,2024-02-20 00:00:00,Egyption,Remotley,Full Time,
76,2024-02-20 01:21:47.636000,Oracle DBA ,1,15000,2023-12-01 00:00:00,Egyption,Hybird,Full Time,Cairo 
81,2024-02-20 02:38:04.654000,Frontend Developer ,Less than 6 months (Hired in October),14.5,2024-02-01 00:00:00,Egyption,Remotley,Full Time,Cairo
82,2024-02-20 02:49:45.068000,Data Integration,2,14000,2024-02-20 00:00:00,Egyption,Hybird,Full Time,
83,2024-02-20 02:52:15.450000,Frontend Developer ,Less than 6 months (Hired in October),14500,2024-02-01 00:00:00,Egyption,Remotley,Full Time,Cairo
84,2024-02-20 02:54:34.348000,Flutter developer,1,9000,2023-07-15 00:00:00,Egyption,On Site,Full Time,Alexandria
85,2024-02-20 03:57:48.137000,Data analyst ,0,Not yet,2024-02-02 00:00:00,Egyption,On Site,Full Time,Cairo
88,2024-02-20 04:47:43.126000,data scientist,0,10000,2024-02-29 00:00:00,Egyption,Remotley,Full Time,cairo 
89,2024-02-20 05:03:21.915000,Full stack (Java & React),1-2,15000,2023-06-15 00:00:00,Egyption,Hybird,Full Time,Cairo
90,2024-02-20 05:12:19.885000,Erp developer,0,8000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
93,2024-02-20 06:15:18.799000,Flutter Developer ,1,8000,2024-02-27 00:00:00,Egyption,Hybird,Full Time,Cairo
94,2024-02-20 06:27:25.863000,Java ,0,10000,2023-09-17 00:00:00,Egyption,On Site,Full Time,Cairo
96,2024-02-20 06:48:02.188000,Data Analyst ,1,12000,2023-06-01 00:00:00,Egyption,On Site,Full Time,Cairo
98,2024-02-20 06:57:07.642000,Frontend developer,2.5,950 USD,2024-02-20 00:00:00,Egyptian but for users outside ,Remotley,Full Time,
100,2024-02-20 07:34:10.190000,Software Developer,1,10000,2024-02-20 00:00:00,Egyption,On Site,Full Time,Cairo
101,2024-02-20 07:36:48.780000,BI developer ,0.3,13.5,2024-02-20 00:00:00,Egyption,On Site,Full Time,Cairo
102,2024-02-20 07:45:27.466000,BI Developer,1.3,22000,2024-02-20 00:00:00,Egyption,Remotley,Full Time,cairo
103,2024-02-20 07:47:01.665000,Machine Learning Engineer ,0,23000,2023-11-01 00:00:00,Egyption,On Site,Full Time,Cairo 
105,2024-02-20 08:13:12.067000,Data Analyst,2,5000,2023-05-01 00:00:00,Egyption,On Site,Full Time,Mansoura
107,2024-02-20 08:30:14.323000,Software engineer (Backend Java),1,12000,2024-02-20 00:00:00,Egyption,On Site,Full Time,Cairo
108,2024-02-20 08:31:14.446000,.Net full stack ,1,15 k,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Alexandria
109,2024-02-20 08:33:32.560000,Dot Net Developer ,Fresh ,10 k,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
111,2024-02-20 08:44:00.736000,BI Developer,1.5,10600,2024-01-25 00:00:00,Egyption,On Site,Full Time,Alexandria
112,2024-02-20 09:14:47.659000,.net developer,1,10000,2023-04-16 00:00:00,Egyption,On Site,Full Time,Mansoura
113,2024-02-20 09:19:18.320000,php developer ,5,15000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,cairo
114,2024-02-20 09:23:11.581000,Software Developer ,8 months ,15k,2023-08-01 00:00:00,Egyption,Hybird,Full Time,Cairo
116,2024-02-20 09:46:44.689000,DevOps ,9,25k ,2024-02-20 00:00:00,Egyption,Hybird,Full Time,Cairo 
117,2024-02-20 09:50:25.304000,.net developer ,Joinour,10000,2024-02-06 00:00:00,Egyption,Hybird,Full Time,Cairo 
118,2024-02-20 09:54:53.768000,Data Analyst,3,13000,2024-02-20 00:00:00,Egyption,On Site,Full Time,"Giza,Cairo,suez,"
120,2024-02-20 09:58:20.196000,data engineer,2,15000,2024-01-05 00:00:00,Egyption,Hybird,Full Time,cairo
121,2024-02-20 09:59:01.220000,junior software tester,2,5000,2024-02-29 00:00:00,Egyption,On Site,Full Time,mansoura
122,2024-02-20 10:03:45.066000,.Net Developer,1,6000,2023-04-16 00:00:00,Egyption,On Site,Full Time,Mansoura
123,2024-02-20 10:07:36.608000,Data Engineer ,1 year and 3 months ,10000,2024-02-20 00:00:00,Multinational company ,Hybird,Full Time,"France , Egypt , UAE and so on "
124,2024-02-20 10:08:25.175000,.Net Developer,2,10000,2024-02-20 00:00:00,Egyption,On Site,Full Time,Mansoura
128,2024-02-20 10:41:36.184000,Ios developer ,0,9000,2024-05-26 00:00:00,Egyption,Hybird,Full Time,Cairo 
133,2024-02-20 11:18:47.162000,IOS Developer,3,25000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
134,2024-02-20 11:22:29.699000,Software tester,3,20k,2024-01-31 00:00:00,Egyption,Hybird,Full Time,Cairo
135,2024-02-20 11:23:47.572000,Android Developer ,1,17k,2024-02-20 00:00:00,Egyption,Hybird,Full Time,Cairo
137,2024-02-20 11:25:13.326000,Software Tester,1,9000,2024-11-02 00:00:00,Egyption,On Site,Full Time,Cairo
138,2024-02-20 11:39:12.907000,Data Analytics engineer,1.5,16500,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
139,2024-02-20 11:39:56.847000,. Net Fullstack developer ,2,640 usd,2023-11-13 00:00:00,Out source ,On Site,Full Time,
141,2024-02-20 11:53:53.484000,Frontend developer,2,3500,2024-02-20 00:00:00,Egyption,Remotley,Part Time,Alexandria
143,2024-02-20 12:19:06.305000,BI developer,2,24000,2024-02-20 00:00:00,Egyption,Remotley,Full Time,Cairo
144,2024-02-20 12:24:16.555000,Flutter developer ,4 months,4000,2023-11-10 00:00:00,Egyption,On Site,Full Time,Cairo
145,2024-02-20 12:35:23.894000,DevOps Engineer ,1,17000,2024-02-20 00:00:00,Egyption,Hybird,Full Time,Cairo
146,2024-02-20 12:38:48.531000,Business Development Engineer,3,12500 LE,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
150,2024-02-20 12:51:22.471000,Java developer , less than year ,11500,2024-01-25 00:00:00,Egyption,On Site,Full Time,Alexandria
153,2024-02-20 13:23:42.959000,database adminstration,fresh,12k,2023-12-01 00:00:00,Egyption,On Site,Full Time,zayed
155,2024-02-20 13:31:42.358000,Computer vision,1.5,16000,2024-02-20 00:00:00,Egyption,Remotley,Full Time,giza
156,2024-02-20 13:38:23.755000,Data Analyst,3,24000,2024-02-20 00:00:00,Egyption,On Site,Full Time,
161,2024-02-20 14:05:08.618000,Frontend React,6 months,4000,2024-01-01 00:00:00,Egyption,Hybird,Part Time,Giza
165,2024-02-20 15:03:01.907000,frontend developer react,1,15800,2023-10-01 00:00:00,Egyption,Hybird,Full Time,cairo
166,2024-02-20 15:25:19.095000,java spring dev,0,13000,2024-02-20 00:00:00,Egyption,Hybird,Full Time,cairo
167,2024-02-20 15:26:56.041000,Netsuite Technical Developer (Javascript Developer),2,27000,2024-02-01 00:00:00,Egyption,Remotley,Full Time,cairo
168,2024-02-20 15:42:57.083000,front end ,"1,5",8000,2024-02-05 00:00:00,Egyption,On Site,Full Time,cairo
170,2024-02-20 16:05:25.952000,Flutter developer,1.5,12000,2024-01-01 00:00:00,Egyption,On Site,Full Time,El mohandseen
171,2024-02-20 16:10:03.708000,Software engineer ,1.5,11.5k,2024-02-25 00:00:00,Multinationals ,On Site,Full Time,Smart Village 
172,2024-02-20 16:43:17.312000,Flutter developer ,4,18000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Menofia
173,2024-02-20 17:01:32.192000,Machine learning engineer,2,35000,2023-09-01 00:00:00,Egyption,Hybird,Full Time,Cairo
174,2024-02-20 17:02:09.006000,Flutter Developer,Less than one year,5800,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Alexandria 
175,2024-02-20 17:15:45.941000,Lead Mobile Engineer ,6.5,34000,2024-02-28 00:00:00,Egyption,Hybird,Full Time,Cairo
177,2024-02-20 17:17:36.889000, NodeJS Developer,1,15k,2024-02-20 00:00:00,Egyption,Hybird,Part Time,Cairo
179,2024-02-20 17:55:51.168000,Fullstack Developer ,1.5,15k,2024-02-20 00:00:00,Egyption,Hybird,Full Time,Cairo
180,2024-02-20 18:12:46.422000,Frontend developer (angular),2.5,25,2024-02-20 00:00:00,Egyption,Hybird,Full Time,Cairo
184,2024-02-20 19:05:46.620000,Data engineer ,4 months ,21000,2023-11-01 00:00:00,Egyption,Remotley,Full Time,
185,2024-02-20 19:09:36.302000,data analysis,3,10500,2024-02-27 00:00:00,Egyption,On Site,Full Time,Luxor
186,2024-02-20 19:14:54.891000,Frontend vuejs,1.5,7000,2024-02-20 00:00:00,Egyption,Remotley,Full Time,Cairo 
188,2024-02-20 20:28:09.177000,.net full stack developer,0,10k,2024-02-25 00:00:00,Egyption,On Site,Full Time,October
190,2024-02-20 20:54:27.799000,Vuejs Developer ,0,14000 egp,2024-02-20 00:00:00,Egyption,Hybird,Full Time,
191,2024-02-20 20:58:26.854000,"Software engineer nodejs, react native",3,16000+3000 flex,2024-02-01 00:00:00,Egyption,Remotley,Full Time,Maadi
192,2024-02-20 21:46:49.947000,Software engineer stack java ,1,"15,000 LE",2024-02-20 00:00:00,Egyption,Hybird,Full Time,Cairo
193,2024-02-20 21:59:45.203000,React Developer,1.5,6000,2023-05-20 00:00:00,Egyption,used to be onsite but now im remotley,Full Time,cairo
194,2024-02-20 22:48:28.524000,PHP Developer ,Less than 1 year,5000,2024-02-20 00:00:00,Egyption,Remotley,Full Time,Cairo 
195,2024-02-20 22:58:16.492000,Php developer ,2,20k ~ 25k,2024-01-25 00:00:00,Egyption,On Site,Full Time,Cairo 
198,2024-02-21 06:12:10.367000,Flutter Developer,0,8000-9000 L.E,2024-02-11 00:00:00,Egyption,Hybird,Full Time,"Cairo, New Cairo"
199,2024-02-21 06:29:57.111000,Software engineer ,2,15000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Giza
200,2024-02-21 09:04:41.145000,.NET developer backend,3 months ,6000,2024-01-03 00:00:00,Egyption,Hybird,Full Time,Cairo 
201,2024-02-21 09:11:45.902000,Dotnet developer ,1,6000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Cairo 
203,2024-02-21 10:32:41.737000,Php developer laravel,4,20000,2023-07-01 00:00:00,Egyption,On Site,Full Time,Cairo
204,2024-02-21 12:25:55.974000,DevOps,2,15000,2023-11-01 00:00:00,Egyption,Remotley,Full Time,"Cairo, Saudia "
212,2024-02-21 16:22:37.753000,Software Engineer,3,29000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
214,2024-02-22 00:18:02.455000,Full Stack Python and React,0,15000,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
215,2024-02-22 00:20:03.892000,React developer ,3,18000,2024-03-27 00:00:00,Egyption,On Site,Full Time,Giza
216,2024-02-22 01:09:31.565000,NodeJs Developer,0.5,9000,2024-01-30 00:00:00,Egyption,On Site,Full Time,New Damietta 
217,2024-02-22 02:51:59.474000,Django ,0,15k,2024-02-28 00:00:00,Egyption,Hybird,Full Time,
218,2024-02-22 10:26:25.822000,React Developer ,1,10000,2024-02-10 00:00:00,Egyption,Remotley,Full Time,Cairo
220,2024-02-22 13:24:25.161000,.net developer ,2,12000,2024-02-22 00:00:00,Egyption,On Site,Full Time,10th Of Ramadan 
222,2024-02-22 17:56:30.852000,Nodejs Backend Developer,1,0,2024-02-22 00:00:00,Egyption,On Site,Full Time,
223,2024-02-22 18:18:00.326000,React native developer,4,30000,2023-01-01 00:00:00,Egyption,Remotley,Full Time,
224,2024-02-22 18:24:38.469000,data engineer ,1,11000,2024-02-26 00:00:00,Egyption,Hybird,Full Time,
225,2024-02-22 18:30:30.908000,Backend developer,3,500k,2024-01-31 00:00:00,Egyption,On Site,Full Time,Cairo
226,2024-02-22 18:31:46.896000,Junior Oracle DBA,0,8000,2024-03-01 00:00:00,Egyption,On Site,Full Time,Cairo 
228,2024-02-22 18:31:54.559000,Doctor,2,9000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Damietta
229,2024-02-22 18:35:19.442000,Full Stack Developer,2,11000,2024-02-22 00:00:00,Egyption,On Site,Full Time,cairo
230,2024-02-22 18:35:40.512000,Social media specialist,0,5000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo 
232,2024-02-22 18:36:38.073000,Software Tester,7 Months,8000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Mansoura
233,2024-02-22 18:37:14.733000,Textile Graphic Designer,2,7000,1999-08-06 00:00:00,Egyption,On Site,Full Time,Cairo
235,2024-02-22 18:39:01.566000,Android developer ,1>,7000,2024-02-22 00:00:00,Egyption,Remotley,Part Time,cairo
236,2024-02-22 18:40:10.152000,Call Center Representative,0,7000,2023-01-01 00:00:00,Egyption,On Site,Full Time,Alexandria
237,2024-02-22 18:40:30.994000,Procurement specialist ,3,15000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Cairo
238,2024-02-22 18:40:40.602000,Test,Test,00000,2024-02-22 00:00:00,Egyption,Hybird,Full Time,
239,2024-02-22 18:42:29.792000,Social media moderator ,4,5400,2024-02-29 00:00:00,Egyption,Remotley,Full Time,Cairo
240,2024-02-22 18:42:57.018000,Operations manager ,2,6500,2024-02-22 00:00:00,Egyption,Remotley,Full Time,Cairo
241,2024-02-22 18:43:18.567000,Working-drawing architect ,2,9500 EGP,2024-02-03 00:00:00,Egyption,On Site,Full Time,Cairo
242,2024-02-22 18:43:18.711000,nopde js developer ,2,85000,2024-12-22 00:00:00,Egyption,On Site,Full Time,kafr - elshiekh 
244,2024-02-22 18:44:06.429000,Java spring Developer,Less than 1,5000,2024-01-25 00:00:00,Egyption,Hybird,Full Time,Giza
245,2024-02-22 18:44:17.243000,.net developer ,2,30000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,mansoura 
246,2024-02-22 18:45:11.120000,Software Testing Engineer ,1,18500,1998-04-12 00:00:00,Egyption,Hybird,Full Time,Cairo
249,2024-02-22 18:53:15.580000,"Sales, telemarketer",2,$350,2024-02-10 00:00:00,Egyption,Remotley,Full Time,Cairo 
250,2024-02-22 18:57:35.303000,Graphic designer ,1.5,4000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Mansoura
252,2024-02-22 18:58:08.998000,Python developer,3,30000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
253,2024-02-22 18:59:38.183000,Petroleum,2,90000,2022-09-15 00:00:00,Egyption,On Site,Full Time,Cairo
255,2024-02-22 19:00:32.005000,Flutter developer,1,6000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Shebin elkom
257,2024-02-22 19:01:05.264000,.NET Developer ,2,24000,2024-02-19 00:00:00,Egyption,Hybird,Full Time,Cairo 
259,2024-02-22 19:02:50.383000,Data analyst,3,15000  EGP,2024-02-01 00:00:00,Egyption,Remotley,Part Time,Cairo
260,2024-02-22 19:02:51.808000,Tourism sales,0-1,7500,2023-09-01 00:00:00,Egyption,On Site,Full Time,Cairo
261,2024-02-22 19:03:43.030000,iOS developer,3,"35,000 LE",2023-12-01 00:00:00,Egyption,Remotley,Full Time,Cairo
262,2024-02-22 19:03:59.233000,Backend SW Engineer,1,30K,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
263,2024-02-22 19:05:04.128000,..,3,20,2024-02-22 00:00:00,Egyption,On Site,Full Time,ciro
264,2024-02-22 19:05:19.972000,Account manager ,6,12000,2018-01-12 00:00:00,Egyption,On Site,Full Time,Cairo
266,2024-02-22 19:06:34.260000,HR personnel ,5,11000,1994-12-15 00:00:00,Egyption,On Site,Full Time,Alexandria 
267,2024-02-22 19:06:42.862000,Customer Service Representative ,2,15000,2024-02-05 00:00:00,Egyption,On Site,Full Time,Egypt
268,2024-02-22 19:07:33.039000,Merchandising planner,4,14,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Cairo
269,2024-02-22 19:07:34.600000,Full Stack Developer,2,15000,2024-03-01 00:00:00,Egyption,Remotley,Part Time,Cairo
270,2024-02-22 19:11:07.627000,Sales engineer,3,14000,2024-02-12 00:00:00,Egyption,On Site,Full Time,Cairo
272,2024-02-22 19:12:59.763000,PHP/wordpress developer,4,27K,2024-02-01 00:00:00,Egyption,Flexible hours ( from home & the office as I like),Full Time,Cairo 
273,2024-02-22 19:13:22.330000,CRM Analyst,2,12,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
274,2024-02-22 19:13:41.812000,Junior Graphic Designer ,3,10000,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
275,2024-02-22 19:14:04.331000,Sales executive ,3 years,3300,2024-02-22 00:00:00,Egyption,On Site,Full Time,Giza
278,2024-02-22 19:20:07.857000,Network engineer ,5,10000,2002-07-14 00:00:00,Egyption,Hybird,Full Time,Cairo
279,2024-02-22 19:20:52.261000,محاسب عام ,6,7000,2024-02-01 00:00:00,Egyption,On Site,Full Time,
280,2024-02-22 19:21:24.554000,Civil Engineer ,1,5000,2024-02-22 00:00:00,Egyption,On Site,9H,Badr
282,2024-02-22 19:22:14.565000,UI UX,3,5600,2024-01-26 00:00:00,Egyption,Hybird,Full Time,Mansoura
283,2024-02-22 19:22:55.962000,Branding Designer,2.5 years,14000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
285,2024-02-22 19:24:06.971000,Senior associate,14,15000,2024-03-25 00:00:00,Egyption,On Site,Full Time,Alexandria
287,2024-02-22 19:25:13.198000,Full stack developer,> 1 year,33,2024-01-24 00:00:00,Egyption,Hybird,Full Time,Cairo
288,2024-02-22 19:26:48.915000,Backend laravel ,0,5000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,
289,2024-02-22 19:27:21.622000,Senior Social Media editor ,8,15000,2024-02-22 00:00:00,Egyption,Remotley,Full Time,Alex
291,2024-02-22 19:28:30.232000,T24 Consultant,3,23000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
292,2024-02-22 19:28:46.304000,SEO Specialist ,3.5,14000,2023-12-01 00:00:00,Egyption,Remotley,Full Time,Cairo
294,2024-02-22 19:29:48.091000,Btl markting,Begginer,4000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo 
295,2024-02-22 19:29:56.572000,Junior architect ,1,6000,2023-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
296,2024-02-22 19:30:21.811000,Subsea inspection engineer ,4,30000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
298,2024-02-22 19:30:45.482000,Civil technical office engineer ,7,10350,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
299,2024-02-22 19:31:01.657000,Banker ,3,14000,2024-01-27 00:00:00,Egyption,On Site,Full Time,
300,2024-02-22 19:32:26.923000,Chef accountant,9,10,2024-02-01 00:00:00,Egyption,Remotley,Full Time,Swiss
301,2024-02-22 19:33:06.450000,Graphic designer,1year,5,2024-02-22 00:00:00,Egyption,On Site,Full Time,
303,2024-02-22 19:37:29.416000,HR HED,10,10000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Egypt
305,2024-02-22 19:38:36.464000,Nursing ,0,2300,2024-02-22 00:00:00,Egyption,On Site,Full Time,Um eldonia
306,2024-02-22 19:39:05.689000,Software Quality Engineer ,1,5500,2024-02-22 00:00:00,Egyption,Remotley,Full Time,Cairo
307,2024-02-22 19:39:57.693000,General Accountant,4,8000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Al Obour city
308,2024-02-22 19:40:03.478000,Outsystems developer,2,550$,2024-01-31 00:00:00,Egyption,Hybird,Full Time,"Cairo, Riyadh "
309,2024-02-22 19:40:57.618000,Java Deveoper,Less than 1 year,20K,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
311,2024-02-22 19:43:14.353000,Senior sales engineer ,14,35 K EGP,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
312,2024-02-22 19:47:38.025000,Full stack .net developer ,0,5000,1996-07-01 00:00:00,Egyption,Remotley,Part Time,
314,2024-02-22 19:48:11.816000,Full Stack .NET Developer,3,15000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Benha
315,2024-02-22 19:49:15.879000,Content creator/social media specialist ,2,5000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Cairo 
316,2024-02-22 19:49:23.185000,Aws engineer ,1,10000,2023-12-01 00:00:00,Egyption,On Site,Full Time,Cairo
317,2024-02-22 19:51:29.370000,Medical repersentive ,1,6500,2023-03-01 00:00:00,Egyption,On Site,Full Time,"Mansoura, egypt "
318,2024-02-22 19:51:33.536000,Senior software engineer,6,25000,2024-03-05 00:00:00,Egyption,Hybird,Full Time,Cairo
319,2024-02-22 19:53:30.415000,Junior graphic designer ,1,7000,2024-01-09 00:00:00,Egyption,On Site,Full Time,Cairo
320,2024-02-22 19:55:55.777000,Ml Eng ,1,8000,2024-02-22 00:00:00,Egyption,On Site,Full Time,cairo
322,2024-02-22 19:58:11.365000,AI engineer,1,60k,2023-02-01 00:00:00,Egyption,Remotley,Full Time,
323,2024-02-22 19:59:01.660000,Data analysis ,7,4225 $,2024-02-21 00:00:00,Egyption,On Site,Full Time,Cairo
324,2024-02-22 20:01:00.164000,Operation engineer ,3,10000,2023-01-01 00:00:00,Egyption,On Site,12 hr,Cairo
